time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551430738.636501,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.63651,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.637942,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.637988,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.637995,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.638002,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.638009,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.638022,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.638031,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.638039,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.638047,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.641283,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.641315,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.643335,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.643355,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.643362,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.643368,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.643373,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.643379,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.643384,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.64339,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.643395,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.643405,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.643413,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.643418,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.645694,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.645706,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.645712,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.645717,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.645731,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.645887,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.645897,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.645903,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.645909,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.645914,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.649098,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.649111,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.64912,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.649125,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.649131,6,1299,216.58.211.54,192.168.1.149,443,53954
1551430738.649136,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.654004,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.654043,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.654406,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.654421,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.654429,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.654882,6,46,192.168.1.149,216.58.211.54,53954,443
1551430739.041954,6,214,192.168.1.149,216.58.210.142,38144,443
1551430739.043072,6,46,192.168.1.149,216.58.210.142,38144,443
1551430739.066644,6,46,216.58.210.142,192.168.1.149,443,38144
1551430739.072341,6,135,192.168.1.149,216.58.211.54,53954,443
1551430739.09569,6,121,216.58.211.54,192.168.1.149,443,53954
1551430739.095701,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.095723,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.095732,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.095739,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.097847,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.097914,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.10024,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.100263,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.10027,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.10028,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.100284,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.10029,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.100294,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.100298,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.100301,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.100304,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.100312,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.100322,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.100327,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.100332,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.100336,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.10034,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.100344,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.101776,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.10186,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.101875,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.101891,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.1019,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.101907,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.101913,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.101928,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.101934,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.101998,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.102007,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.10201,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.102014,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.102018,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.102023,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.102028,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.102034,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.102038,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.102043,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.102047,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.103683,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.103692,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.103708,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.103713,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.103723,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.103727,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.103736,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.10374,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.103748,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.103753,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.103762,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.103766,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.105354,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.105363,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.105371,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.105376,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.105391,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.105396,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.1054,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.105404,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.105408,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.105412,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.106616,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.106632,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.10664,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.106646,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.106653,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.106662,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.10667,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.10668,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.106686,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.106693,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.1067,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.106706,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.106712,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.106719,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.107619,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.107641,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.107657,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.107672,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.107686,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.107706,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.107721,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.107736,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.107751,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.107767,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.109126,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.10915,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.109159,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.109166,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.109174,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.109182,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.110605,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.112769,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.114892,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.11512,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.115175,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.116356,6,172,216.58.210.142,192.168.1.149,443,38144
1551430739.116391,6,108,216.58.210.142,192.168.1.149,443,38144
1551430739.116407,6,124,216.58.210.142,192.168.1.149,443,38144
1551430739.116422,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.117772,6,1079,216.58.211.54,192.168.1.149,443,53954
1551430739.12473,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.126808,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.126847,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.126859,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.126868,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.12688,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.126891,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.127175,17,62,192.168.1.149,192.168.1.1,43687,53
1551430739.129098,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.129122,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.129135,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.129139,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.129149,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.129153,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.129156,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.12916,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.129163,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.129166,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.131232,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.131398,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430739.13143,6,1418,216.58.211.54,192.168.1.149,443,53954
